,distance,width,movement_time
1010,210,6,896
1751,40,18,329
5276,120,8,1368
3354,60,20,448
5743,40,8,394
1149,160,14,895
4897,40,14,400
4103,60,18,334
4262,75,18,642
2964,40,14,528
2932,40,18,478
5597,40,14,384
3580,60,20,519
1898,75,10,514
4114,40,20,369
2663,40,18,460
4510,160,20,832
1060,75,18,582
4728,40,10,633
1392,40,14,494
2698,75,10,718
4603,75,14,520
1678,160,10,688
5368,75,18,392
4165,160,8,663
3974,120,10,732
2434,210,10,894
4119,120,14,718
2396,40,8,573
1580,75,18,613
1900,75,10,410
4564,160,18,674
3361,60,20,368
2764,75,8,850
4327,120,14,606
937,75,20,560
3723,120,8,1024
4981,160,10,633
3294,160,8,870
1601,210,8,752
1777,160,8,728
168,40,14,422
3820,120,10,567
3261,210,6,1279
2720,160,14,882
4945,40,20,399
6054,210,6,1184
6051,210,6,1022
4631,60,10,791
896,40,14,480
1053,40,10,649
4850,160,8,978
4083,210,20,664
775,120,18,935
5205,160,14,687
6118,210,18,689
5039,160,20,704
5458,210,14,629
3742,160,20,768
3982,210,14,1023
3546,120,6,1059
4953,160,14,704
3587,60,20,623
2164,210,6,1241
3636,120,18,820
589,120,6,1168
3961,40,10,681
1406,160,6,983
2902,60,20,703
4586,40,6,512
881,120,8,1137
5654,75,18,409
2203,60,10,432
292,60,10,583
2382,160,8,800
4978,210,20,887
2990,120,20,673
681,40,8,1297
4127,75,20,385
4682,60,18,581
475,120,20,689
676,40,8,1206
2004,160,20,697
4040,60,6,562
132,120,18,599
3091,75,18,630
3819,120,10,672
1706,40,14,616
4655,210,8,792
822,75,6,1026
3246,40,6,757
3293,160,8,639
1329,40,10,449
3088,75,18,554
1279,75,10,751
1511,160,8,1320
5820,210,8,1033
2744,160,6,1056
3756,160,14,1071
1560,120,10,672
2241,75,18,847
4228,40,18,399
1407,160,6,936
58,120,8,1046
482,120,20,787
4196,120,18,528
4616,60,6,778
4738,120,10,727
4554,75,10,622
4413,120,20,577
3914,160,18,640
1413,210,18,781
3100,75,18,424
6025,60,6,898
6113,210,18,1066
3500,60,10,1002
573,75,6,927
4441,60,10,489
6074,75,18,727
3997,40,8,535
4071,60,14,506
390,40,8,552
4154,120,8,703
1955,60,18,421
4238,40,6,577
3565,40,8,735
2554,160,18,823
2833,120,18,736
3435,75,8,559
2371,210,20,843
4696,60,8,582
6060,75,20,497
5503,210,20,696
431,60,10,1063
2907,60,10,655
4051,210,8,1016
117,160,18,744
1699,160,18,609
1509,160,8,896
1831,40,20,233
890,120,6,975
5269,120,8,609
1116,210,14,970
1405,160,6,1432
3394,120,20,527
961,60,10,635
291,60,10,551
2185,40,18,306
4563,75,10,624
4481,120,8,707
2461,210,18,827
1591,120,20,665
27,160,10,1119
4342,120,6,1025
520,210,20,862
270,210,18,903
1628,75,8,814
3621,60,6,966
3410,160,18,817
2323,120,18,463
5408,120,18,489
2189,40,18,401
201,75,10,712
1962,75,14,632
4105,40,20,396
6159,160,10,807
2054,60,6,1376
2440,210,10,866
3904,60,8,512
5485,75,8,528
4260,75,18,504
2120,120,6,1129
2261,210,8,993
290,40,10,496
5470,120,14,520
3395,120,20,418
4357,210,14,951
489,75,18,647
5571,75,6,610
914,40,20,455
4456,160,6,986
3687,40,20,491
888,120,6,1114
3282,120,8,902
4657,210,8,953
4923,210,6,1002
2314,120,8,788
3862,210,10,968
2281,40,6,582
2595,75,6,897
521,210,20,863
397,210,10,1171
6050,210,6,1199
4915,75,10,599
3510,160,8,1009
4368,75,6,1002
5409,120,18,497
5818,40,14,512
2607,60,20,544
553,160,6,1369
3328,210,8,1256
4807,210,18,867
4175,120,6,863
111,160,20,690
6092,60,14,504
5784,60,8,536
1964,75,14,706
1147,160,14,1416
1192,60,20,511
3516,160,8,1035
4145,40,14,423
5994,160,8,1280
3001,120,6,1522
1918,210,20,1624
5600,40,14,349
3107,120,14,560
4465,75,20,408
474,120,20,930
5428,75,10,473
2746,160,6,1106
1324,60,8,608
2012,40,8,488
2685,75,20,472
2988,120,20,751
2928,40,18,480
1461,120,14,605
2077,120,14,1192
2847,60,6,755
1973,160,10,713
4920,210,6,917
4704,120,8,841
623,60,6,1280
713,40,10,840
4400,40,8,560
2137,120,10,584
3908,60,8,655
3471,120,6,857
302,40,18,358
4268,40,18,581
3109,120,14,758
3151,75,20,382
3086,60,18,496
552,120,14,704
1302,120,18,677
4020,120,20,512
1949,60,18,814
1614,60,10,670
4484,120,8,833
1494,210,8,1040
3402,160,18,882
2144,60,20,398
1246,160,20,657
2000,160,20,921
1171,75,14,538
175,40,6,672
77,120,6,1296
249,40,20,409
5309,210,14,887
4021,120,20,504
3514,160,8,903
4837,75,6,627
5093,160,10,673
1034,75,8,967
5850,40,6,607
2991,120,20,849
943,75,10,695
3460,75,14,602
404,40,20,727
4528,75,8,609
4076,210,20,592
3156,40,18,728
2055,60,6,729
3935,75,6,760
2317,120,8,799
3977,210,14,738
3292,160,8,840
2462,210,18,887
1654,210,14,802
4410,120,20,603
3688,60,18,834
283,40,10,545
738,60,20,562
2984,120,20,687
1207,60,18,552
3934,75,6,561
5835,75,14,727
5212,40,6,442
4588,40,6,449
3926,160,6,929
4826,75,20,560
2823,40,8,544
1078,210,20,958
3098,75,18,634
6076,75,18,512
1988,160,8,1384
1881,160,14,519
3027,40,20,435
2311,120,8,1062
4525,75,8,616
5132,210,10,727
436,40,6,829
330,75,18,511
5359,210,18,782
1267,210,14,818
5989,160,8,1041
3827,120,10,1046
5298,210,20,736
711,40,10,792
2965,60,8,623
2102,210,10,897
4208,75,18,392
5880,75,10,952
4619,40,10,396
4726,40,10,602
4913,75,10,600
4551,160,10,994
5095,60,8,744
2160,40,14,402
685,120,18,864
1839,160,6,598
4579,210,8,920
2354,75,8,659
5091,160,10,953
2854,160,10,1089
615,210,18,966
3845,160,18,724
4931,60,20,416
2225,75,10,560
3474,120,6,1153
3896,60,20,478
559,160,6,898
4034,60,6,610
2505,40,14,447
2733,210,8,1023
4689,60,18,544
2968,60,8,542
5089,160,10,743
3187,210,20,686
5330,40,14,344
4669,160,6,830
3310,40,20,359
4910,75,10,617
4387,210,10,809
3275,60,6,646
235,60,20,505
248,40,20,383
5874,75,10,933
4797,40,8,592
3887,210,6,1008
2109,210,10,801
4195,120,18,616
1031,160,20,589
4983,160,10,650
2580,120,8,1008
1528,120,10,646
2824,40,8,576
3362,60,20,335
4508,160,20,606
621,210,18,921
2394,40,8,528
5321,120,14,472
5013,120,6,686
2676,210,6,930
6009,120,18,815
766,120,10,1112
147,75,8,1007
4101,60,18,415
4795,40,8,575
5547,120,8,762
1001,210,6,1001
1942,40,20,359
1145,160,14,765
4935,60,20,432
830,120,20,816
556,160,6,1598
410,40,20,626
4442,60,10,499
1866,120,6,745
3618,40,10,639
537,75,20,609
4756,75,8,593
3149,75,20,417
4789,75,14,658
663,160,20,1010
639,210,6,1463
4128,75,20,570
4629,60,10,768
2101,75,6,569
4390,210,10,759
4819,210,14,712
5377,40,20,422
4173,120,6,857
707,40,10,690
1968,75,14,553
3094,75,18,528
5459,210,14,586
458,60,14,712
1821,120,8,494
2508,40,14,472
4792,40,8,724
2867,120,14,784
463,120,10,888
1512,160,8,841
5342,120,20,425
5241,160,8,857
631,60,6,824
1118,210,14,768
4942,40,20,430
1661,75,14,496
5909,210,14,914
1039,75,8,743
5248,60,6,637
2308,120,8,755
2625,75,8,648
807,160,14,1191
5067,60,14,464
6158,60,20,424
430,60,10,1049
1884,160,14,579
4841,160,8,736
1907,75,20,315
1775,160,8,695
541,75,20,570
5152,210,8,705
2621,40,20,379
717,75,10,1214
3925,160,6,886
2708,60,6,803
5252,60,6,609
485,75,18,791
3301,40,20,455
1468,120,6,747
4245,40,6,639
4516,210,6,1167
3041,160,20,640
3864,210,10,766
3076,210,20,768
4125,75,20,384
4785,75,14,688
4925,210,6,1031
2711,60,8,814
3685,40,20,845
984,210,8,887
5741,40,8,338
51,75,20,702
2500,60,10,678
479,120,20,763
3217,160,6,760
3016,75,10,674
3183,210,20,913
877,120,8,996
3405,160,18,577
3441,75,8,593
5944,120,10,752
3417,120,18,518
2556,160,18,893
3304,40,20,296
3408,160,18,544
4801,210,18,759
2507,40,14,475
1177,40,18,508
4507,160,20,664
3099,75,18,464
2994,120,6,992
5762,75,14,408
1721,40,8,457
3790,75,18,550
4433,210,20,710
3321,210,14,1221
1260,210,14,1016
5980,40,18,498
1084,210,20,970
5338,120,20,568
94,60,18,458
441,40,6,1005
2460,60,14,530
1341,160,18,792
2435,210,10,831
5671,210,6,893
3890,60,20,736
1941,40,20,377
4253,60,8,688
3079,60,18,782
4976,210,20,626
4059,75,10,752
1814,120,8,536
1534,60,20,360
1139,40,20,434
5296,210,20,629
3761,75,10,522
5691,120,10,578
4500,160,8,665
5154,210,8,919
5285,75,14,450
3096,75,18,562
74,60,14,600
5644,60,20,355
5665,210,6,698
1620,160,20,654
5066,60,14,426
3466,120,6,856
5266,60,20,447
2704,60,6,678
648,40,14,623
2436,210,10,973
81,120,6,1048
1412,210,18,758
3003,120,6,915
4758,75,8,729
99,75,6,805
3083,60,18,627
3640,75,8,835
5530,60,18,409
2025,160,14,1114
5006,120,6,1023
6107,40,10,521
5973,75,6,1318
4472,40,14,350
4230,40,18,346
1480,75,18,536
1442,60,10,512
5683,160,20,568
1677,160,10,655
4097,60,18,480
1613,60,10,520
3118,120,14,855
2391,40,8,590
4014,75,14,518
4490,120,8,1034
2028,160,14,746
5319,120,14,423
5005,120,6,809
3838,160,18,962
5798,120,14,620
977,60,6,778
3764,75,10,598
1166,75,14,670
2247,75,18,502
5861,160,6,1103
5219,40,6,450
794,40,18,786
1458,120,14,592
936,75,20,616
1283,40,8,705
3966,120,10,1385
3013,210,6,1498
2937,210,10,875
2779,120,10,1301
2446,75,18,584
1483,75,18,538
4766,120,20,624
4028,120,20,546
3190,210,20,727
4139,40,14,438
5737,40,18,247
1676,160,10,642
5032,160,20,719
5598,40,14,400
4182,60,10,504
4074,60,14,479
1294,120,18,742
5837,75,14,777
1297,120,18,730
2513,60,18,440
3319,210,14,730
1006,210,6,1171
1538,60,20,384
3279,120,8,633
959,60,10,742
3257,210,6,904
4454,160,6,1048
2022,160,14,800
724,210,8,1287
1141,40,20,522
4296,160,14,1056
1274,75,10,583
5902,120,20,632
14,75,14,754
856,160,10,912
4330,120,10,588
2051,210,14,832
3219,160,6,708
3172,40,10,491
1356,60,14,535
5781,60,8,545
4668,160,6,1063
2944,210,10,709
5367,75,18,336
4164,160,8,761
329,75,18,520
3804,40,14,433
3857,210,14,935
1411,160,6,902
5900,120,20,665
3697,60,18,575
734,60,20,688
3284,120,8,840
2536,120,18,946
5272,120,8,609
3994,40,8,519
2743,160,6,1113
105,75,6,786
2768,75,8,833
1951,60,18,513
6014,120,18,591
1950,60,18,657
1818,120,8,553
5885,160,18,1184
5833,75,14,824
1304,210,20,893
1649,210,14,675
5949,210,10,1032
5339,120,20,961
701,60,18,704
1817,120,8,615
5667,210,6,726
4293,160,14,931
5233,75,20,427
952,60,8,632
5965,160,20,1112
1648,210,14,805
565,120,8,1112
3144,75,20,667
2972,60,8,914
3520,210,20,990
2441,75,18,624
6011,120,18,767
602,160,10,941
6091,60,14,521
5092,160,10,856
4993,40,6,616
6016,120,18,656
4037,60,6,590
5528,60,18,400
4764,120,20,607
3721,120,8,1004
4010,75,14,562
3786,210,18,854
5312,120,14,506
3683,40,20,645
5860,160,6,1392
1201,60,6,720
4988,160,10,761
1861,60,8,530
5057,160,6,889
4418,40,20,324
4121,120,14,497
3212,60,18,653
2233,40,10,368
1359,60,14,519
1434,210,10,910
6029,120,6,800
1162,40,6,738
5158,60,18,433
3878,160,20,574
5310,210,14,726
1813,120,8,592
5614,160,6,717
3699,120,20,888
2466,210,18,744
4151,120,8,776
5744,40,8,368
5440,60,10,472
3840,160,18,612
5832,75,14,544
1482,75,18,519
995,60,18,468
3524,210,20,840
1624,160,20,534
2335,60,14,578
1927,75,20,431
1642,40,6,440
2041,160,18,633
3164,75,6,835
5133,160,18,590
1174,75,14,654
2331,120,18,577
5822,210,8,1090
100,75,6,771
2630,75,8,625
4948,40,20,431
3457,75,14,449
4790,40,8,648
950,60,8,777
1068,160,18,852
380,40,8,631
5895,120,20,800
5999,120,8,1369
445,60,8,798
2151,60,20,415
2475,40,10,512
4663,160,6,961
2848,60,6,735
2537,120,18,750
3175,40,10,345
1277,75,10,656
2615,40,20,434
5831,75,14,600
987,210,8,928
5867,40,20,486
2430,210,10,1048
3900,60,20,440
1027,160,20,768
3540,120,6,1082
288,40,10,544
1089,120,14,708
28,160,10,882
4299,60,18,535
3070,210,20,707
4878,120,6,816
4338,120,6,695
813,160,14,891
160,40,14,425
2326,120,18,534
1176,40,18,436
2531,160,6,945
5373,75,18,360
1058,75,18,574
3543,120,6,1617
265,210,14,1209
1266,210,14,814
1924,210,20,737
2146,60,20,391
5677,160,20,501
6164,160,10,965
3393,120,20,576
2887,160,8,1059
3448,40,14,730
3731,60,14,528
2364,210,14,890
1518,160,8,769
1635,40,6,503
36,210,20,888
1926,210,20,735
4038,60,6,760
5094,160,10,711
4829,75,20,471
5578,210,10,688
655,210,14,1329
3645,75,8,1207
5731,40,18,302
3656,40,18,950
1325,60,8,753
4609,60,6,650
868,210,18,991
1318,60,8,584
1124,75,14,682
2977,75,6,1042
4707,120,8,728
322,60,8,719
5096,60,8,754
5286,75,14,432
597,160,10,1057
5422,75,10,627
5407,120,18,535
3725,120,8,1034
550,120,14,897
5586,160,14,456
1368,210,6,904
4730,120,10,774
2210,60,10,418
6034,120,6,1000
4591,40,6,437
3693,60,18,670
2950,40,10,787
3368,60,14,584
2388,160,8,968
4222,210,18,624
5951,210,10,1352
4590,40,6,470
2679,75,20,409
4636,60,10,729
209,210,6,824
2857,160,10,894
533,75,20,705
3749,160,14,821
2501,60,10,675
1844,160,6,633
3711,160,6,1081
3374,60,14,495
3603,75,6,915
3000,120,6,1201
5956,210,10,865
4392,210,10,929
1806,210,6,826
131,120,18,585
2070,120,14,736
2232,40,10,466
848,160,8,897
2809,40,6,784
3945,160,10,785
3737,60,14,565
4561,75,10,594
191,160,8,1208
3412,120,18,467
3720,120,8,884
4966,210,10,904
4665,160,6,890
974,60,6,647
5662,210,6,928
4985,160,10,760
4081,210,20,896
2228,40,10,368
5721,120,6,725
1833,40,20,263
3487,60,8,767
5288,75,14,487
608,160,18,1019
335,120,20,886
6075,75,18,512
5217,40,6,432
1543,210,18,648
4256,60,8,587
5017,75,8,632
1523,120,10,678
4070,60,14,423
5733,40,18,266
3355,60,20,486
605,160,18,617
5465,120,14,484
299,60,10,586
376,120,14,1017
55,120,8,822
722,75,10,1041
2808,40,6,576
4867,160,18,626
5246,60,6,449
4849,160,8,774
323,60,8,967
850,160,8,1000
1887,210,10,738
207,210,6,982
900,40,14,522
6149,60,20,578
4989,160,10,618
5364,210,18,601
5803,120,14,736
4870,160,18,697
3581,60,20,504
3811,160,10,744
3192,210,20,656
1990,160,8,1401
5166,60,18,387
1864,120,6,672
4292,160,14,1013
1653,210,14,625
3771,75,20,731
522,210,20,722
893,120,6,1183
1248,75,8,824
697,60,18,720
1131,40,20,602
1012,160,6,886
4216,210,18,721
1825,40,20,264
3136,40,8,449
4048,210,8,728
6049,210,6,1360
778,120,18,790
5183,75,10,448
3447,40,14,493
374,120,14,558
4791,40,8,752
786,60,14,606
275,210,18,809
667,160,20,952
3240,40,6,526
1375,210,6,881
5998,160,8,983
4358,210,14,769
5326,40,14,391
3433,75,8,543
4089,75,8,534
2776,120,10,1059
4483,120,8,723
4916,75,10,561
1557,120,10,640
453,60,14,725
4960,210,10,1078
1540,60,20,417
3363,60,14,999
5418,160,10,704
2465,210,18,734
574,75,6,918
1395,40,14,473
4701,120,8,704
348,120,10,641
4042,210,8,878
2940,210,10,818
6039,75,8,1121
3458,75,14,812
455,60,14,751
3330,210,8,1009
5449,160,18,576
2468,210,18,951
3089,75,18,649
649,40,14,568
1447,120,20,657
5700,40,20,250
2616,40,20,422
4593,40,6,713
1606,60,10,662
3032,40,20,467
668,160,20,1072
5247,60,6,778
4170,120,6,641
3185,210,20,785
4522,210,6,1209
5461,210,14,617
4518,210,6,901
359,210,10,1099
2796,60,14,675
5214,40,6,554
2712,60,8,533
2498,60,10,741
4946,40,20,396
5079,60,10,605
3369,60,14,470
1338,40,10,481
5941,120,10,1080
1842,160,6,655
5213,40,6,453
3462,75,14,594
3270,60,6,545
1104,210,10,909
3590,60,8,894
3043,160,20,799
316,60,8,726
6163,160,10,952
4140,40,14,379
4404,40,8,552
2455,60,14,517
400,210,10,1120
3984,210,14,761
1342,160,18,697
385,40,8,472
2369,210,20,892
509,40,18,530
1894,210,10,614
4448,160,6,969
2864,120,14,659
857,160,10,1024
3493,60,8,1079
1578,75,18,445
4308,60,14,641
368,120,14,679
2432,210,10,875
3643,75,8,863
5200,160,14,647
4700,120,8,880
18,75,14,824
3839,160,18,810
3843,160,18,800
164,40,14,416
5811,40,14,554
2260,210,8,871
5492,75,8,437
2387,160,8,847
372,120,14,776
1732,60,18,417
5227,75,20,567
1739,75,6,550
2286,40,6,616
324,60,8,770
1555,120,10,615
5313,120,14,568
4961,210,10,772
799,40,18,610
2037,160,18,757
700,60,18,609
5623,60,14,369
3429,160,10,1384
465,120,10,802
1370,210,6,777
3127,120,10,1058
4067,60,14,456
3148,75,20,471
3104,75,18,527
8,210,8,1024
4539,120,18,520
2722,160,14,799
1038,75,8,728
4064,75,10,623
742,60,20,526
2116,210,10,871
5028,75,8,657
423,60,10,721
973,60,6,849
5735,40,18,248
4087,75,8,542
120,160,18,792
2734,210,8,1044
4271,40,18,541
6141,60,18,458
3821,120,10,826
4702,120,8,782
5414,160,10,912
3419,120,18,624
4565,160,18,574
150,60,6,663
4492,160,8,933
3022,75,10,836
4697,60,8,601
5427,75,10,552
3009,210,6,1043
696,60,18,624
3808,160,10,912
1681,160,10,625
5655,75,18,400
989,60,18,479
4857,60,6,598
3019,75,10,527
2062,60,6,758
5137,160,18,490
4708,120,8,777
1715,40,14,440
488,75,18,764
3055,75,20,720
710,40,10,750
694,60,18,579
3265,60,6,720
5034,160,20,686
3938,75,6,807
3872,160,20,638
1244,160,20,754
2888,160,8,1039
4194,60,10,464
367,120,14,640
3604,75,6,943
540,75,20,710
4109,40,20,416
4804,210,18,785
4259,75,18,487
2408,160,10,761
5257,60,6,630
3616,40,10,565
4302,60,18,568
4004,160,14,840
916,40,20,627
1028,160,20,625
2587,40,6,666
5647,60,20,304
6005,120,8,951
731,210,8,1209
6142,60,18,479
142,75,8,647
1532,60,20,423
1834,160,6,618
4719,40,18,449
4316,60,14,603
5336,120,20,489
2153,40,14,424
3648,75,8,895
3815,160,10,925
5223,75,20,562
2454,60,14,624
5082,60,10,415
4566,160,18,890
2220,75,10,720
4136,40,14,382
2061,60,6,493
5872,75,10,930
187,160,8,928
3283,120,8,792
2165,210,6,1258
5434,60,10,526
4798,40,8,664
1617,160,20,664
1933,75,20,664
4975,210,20,607
2560,160,18,771
476,120,20,967
1943,40,20,366
2714,60,8,821
259,210,14,846
1415,210,18,763
3631,120,18,924
5162,60,18,391
1364,210,6,1137
3178,40,10,554
3202,60,10,806
271,210,18,817
2871,120,14,542
3813,160,10,729
471,120,10,1007
393,210,10,1392
1822,120,8,520
4331,120,10,607
350,120,10,808
95,60,18,375
4084,210,20,614
3189,210,20,952
4632,60,10,770
5855,160,6,2214
6101,40,10,493
4009,75,14,486
483,75,18,917
6145,60,18,535
1476,120,6,743
2066,60,6,770
220,160,14,790
2881,120,8,782
5536,40,10,367
3431,75,8,760
4422,40,20,322
2903,60,20,804
1035,75,8,566
3946,160,10,639
5122,210,10,696
2334,60,14,798
2262,210,8,696
2087,120,20,662
5814,40,14,488
2941,210,10,1074
3342,75,10,600
3801,40,14,442
504,40,18,490
4046,210,8,800
4376,210,18,727
3209,60,18,458
1723,40,8,481
4049,210,8,896
1993,160,8,1105
733,210,8,1457
1956,60,18,419
5128,210,10,627
215,210,6,837
4,210,8,865
5897,120,20,624
919,40,6,719
1714,40,14,419
2640,160,20,743
5033,160,20,617
4044,210,8,840
228,60,20,480
5914,40,8,552
129,120,18,729
1126,75,14,769
2978,75,6,831
308,40,18,368
575,75,6,931
749,160,14,910
6106,40,10,911
753,160,14,797
88,60,18,569
4341,120,6,839
825,120,20,1015
4853,60,6,621
703,60,18,583
1025,160,20,704
1607,60,10,602
526,75,14,703
2404,160,10,841
5719,120,6,552
1320,60,8,618
1486,75,18,615
1210,60,18,486
4572,160,18,807
344,120,20,720
242,160,6,934
2367,210,14,958
1717,40,8,463
5405,120,18,487
1655,210,14,1093
3917,160,18,600
3937,75,6,504
35,210,20,848
2914,160,18,682
747,160,14,753
2926,40,18,526
3766,75,10,775
1226,120,8,664
457,60,14,729
2081,120,20,722
2980,75,6,688
2107,210,10,1784
831,120,20,727
1996,160,8,992
4108,40,20,391
5332,120,20,575
4391,210,10,704
2297,60,8,753
3641,75,8,666
5148,210,8,776
652,40,14,844
2577,120,8,944
1242,160,20,786
3824,120,10,797
2090,120,20,569
5651,75,18,352
153,60,6,727
3854,210,14,1007
3632,120,18,1232
4143,40,14,420
3221,160,6,1216
500,160,8,1032
2383,160,8,926
5382,40,20,360
417,75,8,1002
3525,210,20,756
5108,210,6,961
3336,75,10,767
287,40,10,568
5426,75,10,665
4171,120,6,806
2967,60,8,575
511,40,18,729
1759,40,18,232
3740,160,20,767
837,60,20,543
5003,120,6,929
5516,120,20,440
5292,210,20,655
647,40,14,650
935,75,20,551
3103,75,18,410
2112,210,10,1127
203,75,10,544
5506,210,20,634
781,120,18,778
4502,160,20,521
1712,40,14,480
418,75,8,934
5763,40,6,477
2267,210,18,906
5399,120,18,633
167,40,14,408
154,60,6,800
231,60,20,522
5221,40,6,482
4997,40,6,521
1097,120,14,744
2216,60,10,422
2491,60,10,701
3308,40,20,410
450,60,8,823
1243,160,20,801
843,60,20,654
934,75,20,616
2123,120,6,943
5290,210,20,737
2830,40,8,625
773,120,10,910
1387,40,14,537
3791,75,18,483
486,75,18,820
5502,75,20,441
4847,160,8,866
4311,60,14,497
6042,75,8,762
3113,120,14,705
341,120,20,806
2346,60,14,448
29,160,10,983
5963,160,20,983
6110,210,18,911
5472,60,6,480
4012,75,14,552
3455,75,14,504
1098,120,14,656
6105,40,10,728
1720,40,8,455
4601,75,14,574
6122,160,14,760
4740,120,14,784
5839,40,6,808
4379,210,18,680
2060,60,6,729
1840,160,6,723
2946,40,10,861
5193,40,8,470
1632,75,8,696
955,60,8,646
827,120,20,776
2108,210,10,1015
1474,120,6,663
5778,60,8,501
5560,160,8,688
403,40,20,681
3031,40,20,466
616,210,18,803
5815,40,14,646
4672,75,18,582
1816,120,8,579
4620,40,10,475
1410,160,6,1001
600,160,10,904
3674,75,14,705
746,160,14,881
2198,160,6,953
581,75,6,792
1093,120,14,608
2494,60,10,657
1200,60,6,665
4645,120,18,655
6,210,8,1054
4552,160,10,887
1443,60,10,520
1489,210,8,1231
6019,60,6,592
1975,160,10,838
854,160,8,1049
3171,75,6,793
5384,40,20,311
882,120,8,861
4794,40,8,610
4229,40,18,287
3337,75,10,769
2053,210,14,1048
2591,40,6,618
67,60,14,592
5104,60,8,430
4248,60,8,948
4732,120,10,848
3488,60,8,696
1684,160,10,694
4370,75,6,1017
354,120,10,761
2974,75,6,867
2901,60,20,673
4310,60,14,487
4471,40,14,368
2758,160,14,705
4426,210,20,793
5270,120,8,581
5293,210,20,602
5581,210,10,740
6128,160,14,760
4137,40,14,401
4485,120,8,751
5308,210,14,904
948,60,8,783
5075,60,10,576
286,40,10,480
97,75,6,574
1959,75,14,936
250,40,20,526
1399,160,6,1144
5328,40,14,400
3035,40,20,530
3179,40,10,733
5073,60,14,525
1820,120,8,527
2637,160,20,742
2767,75,8,770
4886,120,6,752
1179,40,18,477
5711,210,18,546
5184,75,10,439
33,160,10,989
425,60,10,1047
5202,160,14,657
2115,210,10,785
745,160,14,842
1597,210,8,1030
2553,160,18,798
5960,160,20,765
1701,160,18,533
4823,75,20,504
5846,40,6,714
3550,210,10,1120
4860,60,6,646
3578,40,6,727
4710,40,18,503
3480,210,10,1032
2194,160,6,928
4497,160,8,799
4420,40,20,351
4943,40,20,419
4520,210,6,977
4666,160,6,899
437,40,6,773
2632,75,8,830
1469,120,6,831
4168,160,8,686
4748,120,14,743
983,210,8,952
6115,210,18,814
1673,210,20,639
3963,40,10,453
3366,60,14,777
5903,210,14,823
6099,60,14,496
1216,120,8,874
3797,75,18,645
3456,75,14,527
312,40,18,337
1301,120,18,675
4180,120,6,674
3020,75,10,723
4723,40,10,542
4871,160,18,671
1550,210,18,943
4267,75,18,617
748,160,14,942
4775,60,14,518
4752,75,8,672
1652,210,14,600
115,160,20,952
1394,40,14,512
5151,210,8,1018
4677,75,18,518
3547,120,6,1000
5513,120,20,488
2634,75,8,744
4972,210,20,685
3465,120,6,1625
4650,210,8,1026
4646,120,18,642
4199,120,18,479
824,75,6,1158
44,75,20,585
985,210,8,793
3672,75,14,767
5306,210,14,632
1841,160,6,704
6161,160,10,1000
103,75,6,944
2908,60,10,739
5568,75,6,622
2405,160,10,823
3154,40,18,383
3822,120,10,680
269,210,14,673
1696,160,18,624
1909,75,20,312
777,120,18,930
2400,160,10,1017
5101,60,8,562
4352,120,6,839
3915,160,18,648
851,160,8,848
1801,120,14,506
1587,120,20,586
1231,75,6,613
5054,160,6,832
2859,160,10,880
5423,75,10,475
2072,120,14,898
4306,60,18,520
6040,75,8,905
1418,210,18,761
2487,120,10,656
4277,40,18,689
3281,120,8,688
141,75,8,929
4015,75,14,472
657,210,14,987
1705,160,18,616
3701,120,20,714
4439,60,10,524
3110,120,14,728
670,160,20,766
4149,120,8,633
54,75,20,778
812,160,14,1085
4536,120,18,701
328,75,18,520
549,120,14,1113
26,160,10,863
5703,40,20,283
32,160,10,1344
1252,75,8,576
251,40,20,450
3892,60,20,472
4389,210,10,817
2552,120,14,735
4664,160,6,829
1262,210,14,839
3913,160,18,689
693,60,18,904
4018,75,14,666
5966,160,20,750
4864,160,18,869
3203,60,18,386
5792,210,8,791
3998,40,8,504
1526,120,10,726
4977,210,20,552
4906,160,20,731
2219,75,10,719
2135,120,10,559
4919,210,6,1401
2529,160,6,1168
1055,75,18,686
4580,210,8,1008
491,75,18,832
294,60,10,720
1742,75,6,585
5275,120,8,712
5631,120,18,466
4793,40,8,585
5376,75,18,433
5708,210,18,497
5406,120,18,440
3147,75,20,600
4615,60,6,534
4614,60,6,578
4263,75,18,628
969,60,6,665
3039,160,20,783
5460,210,14,624
6078,75,18,527
4133,75,20,455
2636,160,20,870
954,60,8,695
4374,210,18,1208
432,40,6,923
1464,120,14,514
5664,210,6,886
4320,120,14,600
5893,120,20,855
3630,120,18,915
2438,210,10,1129
5804,120,14,903
6132,210,20,712
2299,60,8,833
4527,75,8,967
3912,160,18,687
933,75,20,608
5255,60,6,634
3889,210,6,1057
2690,75,10,616
2798,60,14,686
2852,160,10,944
3849,210,14,810
5668,210,6,711
2407,160,10,808
1130,75,14,664
6088,60,10,832
6127,160,14,930
2152,60,20,417
1616,160,20,647
1872,120,6,886
3233,160,14,857
3539,120,6,910
4721,40,10,586
2006,160,20,737
6080,60,10,489
2855,160,10,2310
5500,75,20,380
1892,210,10,704
5770,40,6,464
1847,60,8,360
2358,75,8,952
1829,40,20,243
3006,210,6,1331
5809,40,14,746
5157,60,18,530
4778,60,14,536
759,40,8,699
986,210,8,1167
3530,210,8,1111
3496,60,8,584
333,75,18,511
1689,40,10,432
3663,210,6,1040
2154,40,14,399
5051,120,10,814
3299,160,8,811
5142,160,18,496
2355,75,8,888
2723,160,14,745
1529,120,10,652
