,distance,width,movement_time
5360,210,18,825
2658,40,18,394
5773,40,6,489
2253,75,18,391
4718,40,18,633
884,120,8,903
566,120,8,1048
2398,40,8,528
307,40,18,398
2777,120,10,768
5589,160,14,536
300,60,10,574
1727,60,18,391
1734,60,18,438
5853,160,6,1216
5349,75,6,673
4987,160,10,655
1502,75,20,431
5380,40,20,360
3560,40,8,1327
4990,40,6,598
2459,60,14,466
2266,210,8,992
5557,160,8,763
3752,160,14,714
1746,75,6,591
2252,75,18,384
2566,210,8,1184
2549,120,14,927
3409,160,18,536
3527,210,20,992
236,60,20,409
1536,60,20,366
5353,75,6,592
3311,210,14,977
1080,210,20,768
3826,120,10,712
4307,60,18,518
4965,210,10,729
612,160,18,1041
492,75,18,790
4459,75,20,365
4377,210,18,761
3297,160,8,751
4749,120,14,578
3021,75,10,879
1800,120,14,480
3248,210,6,1199
1827,40,20,247
416,75,8,920
1650,210,14,726
3143,75,20,687
5410,160,10,1042
1272,75,10,641
1790,60,6,462
4380,210,18,768
1436,60,10,553
5058,160,6,953
3829,120,14,623
5607,160,6,674
2805,40,6,767
2437,210,10,1097
2828,40,8,564
1797,120,14,477
2892,160,8,993
2516,60,18,474
1209,60,18,448
1992,160,8,1711
4088,75,8,713
523,75,14,788
4621,40,10,622
3920,160,18,748
5476,60,6,518
4116,120,14,494
172,40,6,832
3754,160,14,823
4964,210,10,936
3639,75,8,1002
5514,120,20,446
3626,60,6,809
5531,60,18,416
622,210,18,863
4242,40,6,482
5907,210,14,968
1764,60,14,462
2132,120,10,887
620,210,18,944
3549,210,10,1355
4129,75,20,374
4810,210,14,1068
2545,120,14,825
4512,210,6,1135
3529,210,8,1608
3713,160,6,961
1052,40,10,695
512,40,18,544
4667,160,6,960
4243,40,6,632
3302,40,20,303
5301,210,20,627
1848,60,8,583
578,75,6,1104
3877,160,20,714
5346,75,6,591
3206,60,18,872
1631,75,8,591
461,60,14,738
1107,210,10,880
4290,160,14,811
2327,120,18,530
4905,160,20,472
5397,120,18,545
1074,160,18,735
4333,120,10,728
6002,120,8,1048
3852,210,14,804
2716,60,8,857
5518,120,20,434
1247,160,20,822
2357,75,8,688
3834,120,14,616
686,120,18,997
6010,120,18,803
173,40,6,535
4529,75,8,750
819,75,6,903
2697,75,10,648
1273,75,10,585
2641,160,20,823
4885,120,6,754
1408,160,6,1070
3163,75,6,1142
4332,120,10,753
1263,210,14,855
2157,40,14,418
4436,60,10,470
1682,160,10,696
3421,120,18,474
684,120,18,733
2352,75,8,706
227,160,14,726
3295,160,8,859
3080,60,18,531
4788,75,14,512
2957,40,14,624
351,120,10,768
2282,40,6,787
1251,75,8,741
3418,120,18,817
2731,210,8,1121
149,60,6,742
4473,40,14,288
2518,60,18,561
627,60,6,891
5639,60,20,368
3117,120,14,879
4344,120,6,856
771,120,10,1184
1389,40,14,429
317,60,8,890
1690,40,10,401
4549,160,10,832
951,60,8,816
970,60,6,521
3684,40,20,669
2095,75,6,833
4246,40,6,690
1100,210,10,1073
46,75,20,912
1045,40,10,440
2276,210,18,744
1542,210,18,785
1075,160,18,753
278,210,18,823
381,40,8,681
4813,210,14,764
4403,40,8,504
2769,75,8,831
4651,210,8,967
3879,210,6,743
2639,160,20,784
5588,160,14,519
3586,60,20,656
4545,160,10,871
3365,60,14,511
3477,210,10,1128
3803,40,14,425
1664,75,14,529
112,160,20,766
4058,75,10,649
4446,160,6,1167
169,40,14,435
4725,40,10,646
5020,75,8,784
2709,60,6,775
907,40,20,364
4354,210,14,871
1350,60,14,504
2328,120,18,464
659,210,14,1041
5816,40,14,643
3400,120,20,442
2111,210,10,771
5710,210,18,550
1300,120,18,645
4378,210,18,760
4152,120,8,552
5901,120,20,631
542,75,20,670
3789,75,18,561
5259,60,20,360
4159,160,8,744
4711,40,18,497
5535,40,10,491
3137,40,8,478
5995,160,8,1008
405,40,20,640
1995,160,8,1027
2509,40,14,503
981,210,8,1228
761,40,8,569
4991,40,6,488
3848,210,14,1232
3065,75,14,770
1467,120,6,625
965,60,10,993
3806,40,14,497
394,210,10,1143
75,60,14,561
1020,160,6,1024
3805,40,14,551
1134,40,20,433
422,60,10,704
1738,75,6,561
5186,75,10,415
3075,210,20,819
1376,160,10,703
4366,75,6,1112
2765,75,8,679
1138,40,20,470
3348,210,18,818
880,120,8,1064
2635,75,8,735
665,160,20,767
1148,160,14,848
6018,120,18,577
4423,40,20,384
599,160,10,1065
4447,160,6,841
4057,75,10,688
3629,120,18,930
1307,210,20,871
3743,160,20,649
2778,120,10,1071
5159,60,18,390
6090,60,14,556
5603,40,14,312
1346,160,18,722
3377,160,20,745
188,160,8,809
3449,40,14,1088
9,210,8,1269
1136,40,20,474
4029,120,20,568
116,160,20,751
3015,75,10,849
1947,40,20,378
1234,75,6,699
508,40,18,734
5179,75,10,600
2015,40,8,553
3970,120,10,696
3559,40,8,1223
6000,120,8,872
2766,75,8,818
5404,120,18,753
2899,60,20,866
4735,120,10,669
1154,40,6,624
4939,60,20,400
4717,40,18,504
1767,60,14,397
5537,40,10,406
3869,160,20,586
1011,160,6,1113
4771,60,14,450
1457,120,14,616
4202,120,18,624
6031,120,6,1913
5253,60,6,545
3541,120,6,936
4833,75,6,607
1456,120,14,712
5496,75,20,494
1490,210,8,826
5413,160,10,792
4384,210,10,1032
3057,75,14,653
246,160,6,914
853,160,8,1088
3303,40,20,241
2457,60,14,669
5012,120,6,840
6024,60,6,926
2693,75,10,815
5968,75,6,745
5123,210,10,713
3440,75,8,711
3666,210,6,1289
4373,75,6,968
5566,75,6,532
5232,75,20,414
6103,40,10,475
311,40,18,414
677,40,8,1026
3775,75,20,482
5436,60,10,448
576,75,6,1007
3995,40,8,505
735,60,20,561
2789,210,14,770
4269,40,18,583
1666,210,20,697
618,210,18,989
3454,75,14,554
1082,210,20,809
4868,160,18,826
1280,75,10,639
1510,160,8,815
2851,60,6,757
4713,40,18,464
2018,40,8,456
2649,120,6,849
4741,120,14,718
5575,210,10,873
5443,160,18,586
5282,75,14,418
469,120,10,774
2806,40,6,877
2721,160,14,776
336,120,20,625
2030,160,14,1096
1487,210,8,1104
4346,120,6,957
3608,75,6,1055
5985,40,18,496
3464,120,6,1199
4908,160,20,592
4185,60,10,575
5281,75,14,405
585,120,6,863
3686,40,20,750
1766,60,14,393
3320,210,14,856
5649,75,18,423
3930,160,6,1048
3490,60,8,479
4605,75,14,609
3842,160,18,806
1024,160,20,721
1452,120,20,574
1143,160,14,980
1803,210,6,793
2076,120,14,930
2737,210,8,1217
1880,160,14,567
5146,210,8,930
3571,40,6,819
4239,40,6,519
1128,75,14,874
1873,120,6,594
3953,160,10,816
3836,120,14,625
1221,120,8,675
1373,210,6,863
3411,160,18,735
3573,40,6,831
6152,60,20,439
4495,160,8,1029
5761,75,14,418
6136,210,20,727
5890,160,18,657
1637,40,6,462
740,60,20,560
1548,210,18,608
4843,160,8,695
706,40,10,1063
4553,160,10,814
3371,60,14,353
3568,40,8,590
1589,120,20,649
674,40,8,1018
6033,120,6,1359
2677,75,20,490
1525,120,10,686
226,160,14,753
4069,60,14,441
62,120,8,893
4874,160,18,814
6083,60,10,536
3654,40,18,497
4257,60,8,663
1686,40,10,497
5945,210,10,1136
4877,120,6,663
4251,60,8,1030
3452,40,14,371
5350,75,6,608
2900,60,20,720
4225,210,18,649
5838,75,14,498
5617,160,6,668
3988,210,14,976
260,210,14,856
45,75,20,636
3315,210,14,786
3564,40,8,837
4625,40,10,561
994,60,18,445
2590,40,6,550
2306,60,8,672
5250,60,6,534
2129,120,10,984
2427,75,14,642
2515,60,18,488
2175,40,18,415
4063,75,10,521
3979,210,14,810
2589,40,6,568
4695,60,8,673
1255,75,8,589
2344,60,14,416
2995,120,6,929
5446,160,18,502
4192,60,10,466
971,60,6,918
939,75,10,897
1172,75,14,600
3903,60,8,753
3062,75,14,734
389,40,8,593
517,210,20,824
2464,210,18,842
176,40,6,615
4538,120,18,656
3592,60,8,801
2532,120,18,648
4275,40,18,632
80,120,6,857
2943,210,10,997
3432,75,8,626
1449,120,20,602
177,40,6,851
1977,160,10,872
2562,160,18,805
5362,210,18,904
2760,160,14,865
2202,60,10,799
1569,120,18,539
4904,160,20,655
2248,75,18,514
1765,60,14,482
1893,210,10,626
2696,75,10,581
913,40,20,530
5824,210,8,1008
1695,40,10,416
3993,40,8,614
2681,75,20,450
178,40,6,679
5043,120,10,704
1983,160,10,889
2372,210,20,822
6138,210,20,1232
4866,160,18,671
4287,60,20,544
5501,75,20,395
5958,160,20,607
2784,210,14,848
6008,120,8,1073
2497,60,10,576
1460,120,14,608
1636,40,6,482
4950,160,14,820
557,160,6,1138
6119,160,14,847
5327,40,14,352
901,40,14,441
1952,60,18,880
5345,75,6,592
4839,75,6,544
2521,60,18,503
3748,160,14,720
4407,120,20,624
2483,120,10,674
3939,75,6,673
4349,120,6,834
5035,160,20,715
3698,120,20,799
4787,75,14,608
4234,40,18,353
5916,40,8,925
3102,75,18,390
5714,210,18,520
5680,160,20,487
1651,210,14,657
6169,160,10,944
2184,40,18,438
4815,210,14,753
988,60,18,456
6072,75,18,464
2045,210,14,1303
5678,160,20,470
2861,160,10,1203
1214,60,18,526
3344,210,18,777
5416,160,10,945
2422,75,14,623
968,60,6,680
1288,40,8,592
3129,120,10,978
256,40,20,406
5892,160,18,760
4120,120,14,537
4401,40,8,511
820,75,6,1137
3620,60,6,782
1241,160,20,662
4907,160,20,590
6116,210,18,817
1520,120,10,971
2931,40,18,400
71,60,14,528
3307,40,20,215
783,120,18,761
76,120,6,1086
198,75,10,625
4705,120,8,711
2559,160,18,789
3906,60,8,582
4210,75,18,384
233,60,20,575
3753,160,14,871
1188,60,20,456
320,60,8,784
3802,40,14,461
1998,160,20,840
4709,120,8,721
1656,75,14,639
4288,160,14,1081
1897,75,10,546
3498,60,8,776
5007,120,6,800
5640,60,20,327
438,40,6,869
5727,120,6,615
3128,120,10,830
1891,210,10,782
4388,210,10,831
1157,40,6,736
1425,210,10,894
5627,60,14,368
4890,40,14,449
2105,210,10,1344
1917,75,20,639
1936,75,20,601
3370,60,14,561
4951,160,14,704
2183,40,18,390
2834,120,18,886
2453,60,14,527
2729,160,14,821
255,40,20,458
3364,60,14,736
5705,210,18,598
1321,60,8,514
4917,75,10,647
2050,210,14,840
2121,120,6,1093
3504,60,10,861
2831,40,8,639
195,75,10,696
5698,40,20,256
1043,40,10,751
2502,40,14,522
3213,160,6,1280
3515,160,8,1006
5363,210,18,616
4624,40,10,495
4952,160,14,727
4158,160,8,752
1240,160,20,673
6137,210,20,744
3014,210,6,2034
1779,160,8,685
588,120,6,921
3334,75,10,589
1524,120,10,578
2082,120,20,582
5318,120,14,472
181,40,6,601
3485,210,10,945
185,160,8,920
2312,120,8,794
1431,210,10,825
712,40,10,720
726,210,8,1401
497,160,8,1160
1362,210,6,938
2021,40,8,479
3045,160,20,897
64,120,8,1187
6006,120,8,823
3385,160,20,607
555,160,6,1185
5517,120,20,486
5969,75,6,998
4670,75,18,607
281,40,10,840
2895,60,20,547
3990,40,8,656
5619,60,14,456
4699,60,8,633
4767,120,20,583
2481,120,10,914
6155,60,20,704
4096,60,18,407
1432,210,10,918
1344,160,18,672
1472,120,6,888
6084,60,10,640
23,160,10,1114
1934,75,20,671
5010,120,6,791
4802,210,18,744
4488,120,8,756
4445,60,10,475
4179,120,6,599
4148,120,8,871
3670,75,14,585
2064,60,6,760
5751,75,14,421
3338,75,10,1175
5000,40,6,639
3476,210,10,962
4416,40,20,464
1462,120,14,723
5532,60,18,357
2495,60,10,631
3957,40,10,705
4852,60,6,730
4747,120,14,664
6165,160,10,939
5523,60,18,360
5844,40,6,545
695,60,18,796
4930,60,20,489
5143,160,18,528
2288,40,6,701
3628,60,6,1208
2412,120,20,718
5147,210,8,760
4770,60,14,701
3254,210,6,1002
4220,210,18,632
6003,120,8,897
2199,160,6,784
4072,60,14,447
145,75,8,722
4746,120,14,698
2469,210,18,761
1227,75,6,535
2426,75,14,542
5539,40,10,415
513,210,20,805
4227,40,18,336
4184,60,10,440
5787,60,8,584
4280,60,20,535
5569,75,6,674
3787,210,18,777
2774,120,10,658
2826,40,8,708
1215,60,18,457
5097,60,8,647
548,120,14,927
4237,40,6,567
619,210,18,875
2807,40,6,676
5772,40,6,447
5701,40,20,256
3396,120,20,591
1190,60,20,533
3345,210,18,760
4324,120,14,576
4351,120,6,896
366,210,10,817
582,75,6,928
4317,60,14,741
1455,120,20,571
1119,210,14,905
4873,160,18,625
1773,160,8,855
1590,120,20,535
4440,60,10,545
3423,160,10,1095
3776,75,20,615
611,160,18,753
5657,75,18,407
5358,210,18,801
2321,120,18,424
4085,75,8,784
2666,210,6,1521
43,210,20,824
3473,120,6,1073
3158,40,18,453
124,160,18,707
1298,120,18,720
1915,75,20,367
3729,60,14,545
5716,120,6,534
1076,160,18,687
6140,60,18,560
5590,160,14,506
1741,75,6,696
5439,60,10,574
2019,40,8,490
3318,210,14,848
1238,160,20,690
5167,40,10,572
1193,60,20,505
1547,210,18,625
3146,75,20,750
4477,40,14,357
2675,210,6,1053
5549,120,8,609
5239,160,8,849
200,75,10,740
6102,40,10,495
6070,75,18,734
797,40,18,582
5240,160,8,685
2799,60,14,575
5120,210,6,805
1057,75,18,585
5739,40,18,226
4962,210,10,1023
4294,160,14,736
3954,160,10,890
679,40,8,814
2496,60,10,553
6114,210,18,744
4781,75,14,618
3736,60,14,542
4742,120,14,705
2089,120,20,671
2333,120,18,557
3780,210,18,1002
3494,60,8,720
2517,60,18,550
544,120,14,712
960,60,10,610
1911,75,20,266
4980,160,10,791
2961,40,14,512
2206,60,10,512
4462,75,20,392
2080,120,14,887
5262,60,20,353
1709,40,14,409
3067,210,20,881
2557,160,18,784
5782,60,8,454
5936,120,10,990
4884,120,6,735
3077,60,18,764
3387,160,20,536
4266,75,18,536
1515,160,8,1001
4537,120,18,696
534,75,20,789
769,120,10,965
1729,60,18,383
5450,160,18,430
4348,120,6,690
2771,120,10,1378
406,40,20,646
2173,210,6,1104
4431,210,20,838
2016,40,8,480
4138,40,14,360
370,120,14,702
6093,60,14,465
456,60,14,760
1401,160,6,1022
371,120,14,714
1050,40,10,514
1334,40,10,474
826,120,20,775
6098,60,14,463
6130,210,20,831
3814,160,10,656
1117,210,14,815
4304,60,18,495
3024,75,10,799
1492,210,8,885
392,210,10,991
123,160,18,661
1398,40,14,470
2377,210,20,836
1153,160,14,784
3398,120,20,556
2211,60,10,537
3267,60,6,564
309,40,18,409
6041,75,8,566
2447,75,18,559
811,160,14,1169
5738,40,18,247
379,40,8,640
2166,210,6,1264
2942,210,10,979
2780,120,10,895
4041,210,8,1232
1608,60,10,593
5730,40,18,395
4675,75,18,601
4285,60,20,646
1282,40,8,560
1129,75,14,624
2601,75,6,693
4817,210,14,769
1230,75,6,577
4043,210,8,1138
5625,60,14,398
2195,160,6,847
